Country,latitude,longitude,Non-Resident Arrivals 1995,Non-Resident Arrivals 1998,Non-Resident Arrivals 2001,Non-Resident Arrivals 2004,Non-Resident Arrivals 2007,Non-Resident Arrivals 2010,Non-Resident Arrivals 2013,Non-Resident Arrivals 2016
United States,39.715956,-96.999668,"43,318","46,377","46,927","46,086","56,135","60,010","71,643","76,407"
Peru,-12.98078,-72.876651,479,726,901,"1,350","1,916","2,299","3,164","3,744"
China,32.523743,106.431983,"20,034","25,073","33,167","41,761","54,720","55,664","55,686","59,270"
India,22.412321,79.132924,"2,124","2,359","2,537","3,457","5,082","5,776","6,968","14,570"
Russia,63.314401,93.884016,"10,290","16,188","21,595","22,064","22,909","22,281","30,792","24,571"
New Zealand,-45.175323,169.232531,"1,409","1,485","1,909","2,334","2,455","2,530","2,710","3,494"
South Africa,-29.708985,23.666291,"4,488","5,732","5,787","6,678","9,091","8,074","9,537","10,044"
Egypt,26.42231,29.227089,"2,871","3,213","4,357","7,795","10,610","14,051","9,174","5,258"
Cuba,21.329612,-77.967722,742,"1,390","1,736","2,017","2,119","2,507","2,839","3,975"
Iceland,64.779262,-18.673522,190,232,301,360,485,489,807,"1,792"
Turkey,39.339547,34.51052,"7,083","8,960","10,783","16,826","26,122","31,364","37,795","30,289"
Mexico,23.920061,-102.289691,"20,241","19,392","19,810","20,618","21,606","23,290","24,151","35,079"
Indonesia,-1.003189,101.972332,"4,324","4,606","5,153","5,321","5,506","7,003","8,802","11,519"
Japan,36.13793,138.441899,"3,345","4,106","4,772","6,138","8,347","8,611","10,364","24,040"
Ukraine,49.219469,33.023452,"3,716","6,208","9,174","15,629","23,122","21,203","24,671","13,333"